Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2023,August,Europe,Model X,11623,11690,102745,60,345,601.49,7423
2018,March,Europe,Model S,8500,9229,106380,75,441,562.27,4846
2020,May,Europe,Model S,10841,12455,78553,60,338,549.64,9694
2021,March,Asia,Model 3,7552,8187,56654,75,420,475.78,7961
2017,November,North America,Model S,9677,10121,107567,75,414,600.94,8023
2019,July,Europe,Model Y,6164,6686,67663,60,357,330.08,6188
2015,September,Europe,Model Y,5111,5187,67022,75,439,336.56,13268
2019,October,Europe,Cybertruck,5655,6381,56947,60,332,281.62,6152
2023,December,Asia,Cybertruck,11905,12981,90535,100,561,1001.81,3560
2022,February,Middle East,Model X,8449,9164,58017,120,719,911.22,8106
2020,April,Europe,Cybertruck,4068,4417,80930,75,425,259.33,11957
2018,June,Asia,Model 3,15384,15892,93796,60,347,800.74,5218
2019,May,Europe,Model X,13602,14061,96362,75,435,887.53,13981
2018,May,North America,Model X,17044,18626,63065,120,661,1689.91,6414
2024,October,Europe,Cybertruck,11346,11431,77763,60,341,580.35,6417
2025,February,Europe,Model Y,1589,1658,62205,100,589,140.39,14464
2019,February,Asia,Model S,9546,10021,99057,60,352,504.03,14152
2023,November,North America,Cybertruck,11986,12577,87377,60,331,595.1,5504
2016,December,North America,Model Y,8664,9913,77264,120,683,887.63,7084
2023,February,Asia,Cybertruck,14614,16080,115963,60,354,776,3503
2021,April,Asia,Model X,8454,8914,94870,82,487,617.56,4967
2018,December,North America,Model X,9743,10457,74615,100,595,869.56,9827
2016,October,Middle East,Cybertruck,6815,7829,59204,60,338,345.52,7734
2019,June,Asia,Model 3,8068,8161,96954,75,443,536.12,5935
2019,January,Europe,Cybertruck,8718,9352,55978,75,448,585.85,9216
2024,June,Europe,Model Y,3651,4028,89590,120,664,363.64,4951
2022,October,Europe,Model 3,20841,23735,95174,60,342,1069.14,14164
2015,May,Asia,Model Y,7896,8722,87527,100,565,669.19,12765
2024,October,Europe,Model Y,5697,6406,74881,100,564,481.97,13090
2018,August,North America,Model 3,9870,10128,83015,100,554,820.2,10508
2021,May,North America,Cybertruck,2210,2460,68016,100,584,193.6,3476
2021,October,North America,Cybertruck,14193,15440,97193,75,442,941,10909
2020,December,North America,Model 3,15569,16988,78329,100,561,1310.13,6085
2015,July,Asia,Cybertruck,113,118,115067,120,709,12.02,14580
2018,August,Europe,Model 3,18499,19682,93079,82,454,1259.78,4053
2021,January,North America,Cybertruck,6006,6007,58411,75,432,389.19,11101
2019,July,Middle East,Model Y,9124,9987,80110,120,686,938.86,6724
2022,March,Europe,Model Y,14670,15394,59676,82,467,1027.63,14758
2025,August,Europe,Model S,1129,1160,108825,60,333,56.39,5579
2022,August,Asia,Model X,11585,12840,63332,120,686,1192.1,3858
2020,April,Middle East,Model Y,10318,11341,113229,82,455,704.2,5784
2025,April,Middle East,Model Y,10058,11457,78513,75,449,677.41,9950
2021,April,North America,Model 3,16328,17674,112147,120,666,1631.17,12871
2023,March,Europe,Model Y,11869,12314,79193,120,681,1212.42,13305
2022,February,Asia,Model Y,13461,14069,90476,60,344,694.59,9954
2021,September,Middle East,Model 3,10064,10320,72127,75,428,646.11,6711
2024,June,North America,Model 3,5897,6006,84945,100,566,500.66,6549
2021,November,North America,Cybertruck,6204,6702,81440,100,572,532.3,4093
2015,September,Middle East,Model Y,10783,11226,88792,82,477,771.52,12956
2022,July,Middle East,Model X,8386,8428,91521,75,419,527.06,7151
2016,November,Middle East,Model X,15582,17164,92405,120,681,1591.7,5614
2016,June,Asia,Cybertruck,7885,8483,108849,82,481,568.9,9506
2017,May,North America,Cybertruck,7766,8156,118497,60,355,413.54,11414
2021,August,Asia,Model X,9136,9679,102048,82,474,649.57,7657
2022,December,North America,Model X,10666,11185,70537,120,662,1059.13,12789
2021,June,North America,Cybertruck,3639,4038,66953,75,418,228.17,9358
2019,March,North America,Model S,9776,10512,113695,82,480,703.87,9984
2022,July,North America,Model Y,16921,18220,75210,75,429,1088.87,11278
2021,July,Europe,Cybertruck,5159,5872,118495,100,550,425.62,10472
2019,June,Middle East,Model Y,14754,16395,97266,82,459,1015.81,7229
2016,October,Middle East,Model 3,8763,9817,90043,75,431,566.53,6521
2021,July,North America,Model S,5168,5266,54098,82,463,358.92,4891
2015,November,Asia,Model S,15682,17319,60773,82,484,1138.51,5693
2024,May,North America,Model Y,13749,14635,94910,100,590,1216.79,3067
2024,November,Asia,Model 3,12742,14279,64496,120,680,1299.68,4610
2022,January,Asia,Model S,7476,7781,108225,60,359,402.58,8926
2016,March,Europe,Cybertruck,9749,10459,67974,82,462,675.61,6687
2023,November,Europe,Model 3,10577,12068,88816,100,580,920.2,14723
2018,August,Europe,Cybertruck,8415,9592,51410,75,418,527.62,13634
2025,December,North America,Cybertruck,9701,10572,66908,82,471,685.38,3889
2017,February,Europe,Model 3,12488,13372,111611,75,420,786.74,11133
2022,October,Europe,Cybertruck,11173,11362,107979,82,461,772.61,12327
2019,December,Europe,Model S,5122,5430,74550,75,441,338.82,12638
2022,April,Asia,Model S,12876,14702,81006,60,347,670.2,8716
2016,March,North America,Model X,6034,6249,76128,60,336,304.11,3878
2016,January,Europe,Model 3,10238,11326,110968,75,439,674.17,12620
2023,October,North America,Model Y,12266,12573,100235,82,481,884.99,4067
2019,June,Asia,Model Y,8909,9045,113778,82,484,646.79,12120
2022,July,North America,Model S,8707,9829,67938,82,466,608.62,13455
2022,October,Asia,Model S,10216,11129,82227,120,681,1043.56,7236
2023,December,North America,Cybertruck,12121,13346,64313,60,357,649.08,6173
2022,April,Europe,Model Y,14226,15780,50004,75,448,955.99,12770
2022,October,Middle East,Model Y,10455,10975,60846,100,592,928.4,9259
2023,October,Asia,Cybertruck,9742,10574,111362,75,447,653.2,9345
2025,April,Europe,Model 3,12743,14549,50429,82,470,898.38,3295
2017,December,Middle East,Cybertruck,5773,6233,70156,75,430,372.36,6599
2024,June,Middle East,Cybertruck,8995,9523,91249,82,462,623.35,5102
2019,July,Asia,Model S,12631,13913,71111,60,335,634.71,6644
2019,July,Asia,Model 3,9721,9856,60071,82,455,663.46,8075
2015,June,North America,Cybertruck,12581,13909,64907,100,556,1049.26,3174
2022,March,Middle East,Model 3,12989,13754,117323,75,428,833.89,10212
2019,January,North America,Cybertruck,15450,16585,87006,120,680,1575.9,9231
2021,July,Europe,Model X,6373,7051,97414,82,452,432.09,7940
2016,September,Europe,Model Y,13362,13563,66791,75,417,835.79,7175
2017,June,Middle East,Model 3,9731,10800,92471,82,478,697.71,3973
2022,July,Middle East,Model Y,8274,8688,57515,60,334,414.53,3401
2015,December,Europe,Model 3,10531,11077,93464,60,331,522.86,13458
2015,December,Asia,Model 3,12833,14663,60574,82,468,900.88,14323
2021,February,Middle East,Model X,4938,5121,102386,60,337,249.62,13580
2016,December,Middle East,Cybertruck,1761,1942,100589,82,479,126.53,4613
2015,June,Asia,Model 3,6240,6864,62062,120,671,628.06,3490
2015,March,Asia,Model 3,25410,28802,73660,60,341,1299.72,4127
2020,August,Middle East,Cybertruck,9384,10068,101698,100,593,834.71,10515
2023,March,North America,Model X,13516,15356,66498,75,446,904.22,6713
2018,January,Europe,Model X,10309,11575,118850,120,675,1043.79,14636
2019,September,Europe,Model X,6790,7203,114861,120,702,714.99,8027
2025,April,Europe,Model S,13977,14330,100950,82,458,960.22,9137
2025,August,North America,Cybertruck,8051,8372,74141,100,582,702.85,13593
2018,October,Europe,Model X,8207,9267,110623,120,660,812.49,12336
2020,March,North America,Cybertruck,14135,15310,113114,75,447,947.75,3109
2018,October,Asia,Model 3,15214,15983,107927,120,660,1506.19,6693
2024,April,Middle East,Cybertruck,11345,11782,53653,100,550,935.96,3265
2016,July,Europe,Model Y,12785,14297,86209,82,469,899.42,4769
2024,October,Europe,Model S,9425,10352,109845,82,461,651.74,6926
2016,March,Middle East,Model 3,5024,5612,69236,60,354,266.77,8084
2022,May,Asia,Model X,6711,7424,75749,120,693,697.61,4199
2015,November,Asia,Model X,7548,8554,116896,82,486,550.25,12714
2022,February,Middle East,Model 3,12532,13443,71390,60,345,648.53,7583
2020,August,North America,Model S,14895,15487,81404,100,576,1286.93,10963
2023,February,Asia,Model S,7884,8529,64981,82,470,555.82,6818
2025,May,Europe,Cybertruck,6127,6482,113633,60,359,329.94,5083
2018,May,Europe,Cybertruck,12296,13590,88953,120,681,1256.04,13936
2017,February,Europe,Model X,5444,5940,70671,82,456,372.37,10819
2018,May,Europe,Model X,11900,12449,92955,120,713,1272.7,12719
2015,November,Middle East,Model Y,13281,14670,97610,82,476,948.26,12032
2020,March,Middle East,Cybertruck,7976,9096,71585,120,712,851.84,12169
2020,February,Middle East,Model X,12077,12821,65239,75,448,811.57,4567
2020,August,Asia,Model 3,16161,17831,58897,100,567,1374.49,10109
2025,December,Middle East,Cybertruck,11972,12429,106954,82,476,854.8,13057
2020,March,Europe,Model X,6591,7080,56028,100,577,570.45,9033
2024,December,North America,Cybertruck,10873,12142,67410,120,700,1141.66,13826
2016,November,Asia,Model S,15062,16535,109192,60,350,790.75,8159
2024,September,Europe,Model 3,14493,16180,87455,100,589,1280.46,10149
2018,April,Middle East,Model Y,15674,17727,119690,100,579,1361.29,12749
2018,September,North America,Model 3,11480,12317,57631,75,421,724.96,6803
2021,July,Asia,Model X,5107,5575,98722,120,680,520.91,4295
2020,November,Middle East,Cybertruck,10833,11738,67921,120,699,1135.84,4395
2017,January,Europe,Model 3,2425,2452,85044,100,589,214.25,11485
2021,April,Asia,Model Y,1178,1245,59861,120,697,123.16,11746
2024,January,Asia,Model Y,7061,7806,68208,82,489,517.92,9361
2016,November,North America,Model Y,10587,10768,76869,75,429,681.27,7428
2017,June,Middle East,Cybertruck,12970,13984,54792,100,568,1105.04,14049
2016,May,North America,Cybertruck,16123,16490,54294,75,441,1066.54,8517
2018,June,North America,Model 3,10312,10533,60601,75,428,662.03,10148
2017,November,Middle East,Model S,11833,13467,52804,82,462,820.03,5490
2020,June,Asia,Model Y,5283,6019,76850,82,471,373.24,13754
2019,February,Europe,Model 3,8446,8703,103834,100,571,723.4,9784
2024,June,North America,Model Y,11466,12672,102943,60,353,607.12,8734
2019,October,Asia,Model 3,11179,12250,66498,75,439,736.14,13484
2024,June,Asia,Model 3,6370,7253,107838,75,425,406.09,6269
2016,January,Middle East,Cybertruck,11583,13270,62668,120,711,1235.33,8907
2015,May,Middle East,Model 3,14717,16896,60529,100,579,1278.17,7570
2016,January,Asia,Model 3,11696,12851,84874,100,577,1012.29,11630
2023,October,North America,Cybertruck,11110,11165,56376,75,414,689.93,7016
2017,March,Europe,Model Y,9278,10038,80297,60,331,460.65,4988
2020,November,Asia,Model X,4025,4178,107759,60,344,207.69,9520
2017,September,Asia,Cybertruck,12488,13915,52726,120,710,1329.97,10434
2024,September,Middle East,Cybertruck,5699,5706,117904,100,571,488.12,14632
2023,March,Europe,Model 3,7479,7943,66291,82,471,528.39,13469
2024,December,Asia,Cybertruck,6440,7318,95447,82,454,438.56,4624
2023,June,Europe,Cybertruck,14025,15507,56944,120,714,1502.08,5580
2022,October,Europe,Model S,10973,11389,86218,75,413,679.78,6174
2019,April,Asia,Cybertruck,1912,1967,71663,82,490,140.53,7933
2021,March,Europe,Model Y,9365,9687,86116,100,562,789.47,14286
2025,May,Middle East,Model S,12152,13861,50300,82,487,887.7,3797
2024,February,Middle East,Model 3,16451,18505,58506,82,484,1194.34,8775
2017,June,North America,Model 3,6303,6678,68499,60,336,317.67,8796
2021,January,Middle East,Model S,8899,9334,93632,100,552,736.84,3286
2017,July,Middle East,Model X,4965,5147,54041,82,467,347.8,5810
2018,April,Asia,Cybertruck,6334,6575,50903,100,577,548.21,13213
2016,October,Middle East,Model S,7230,7892,69648,100,560,607.32,9198
2022,May,Europe,Cybertruck,12897,14591,106099,75,447,864.74,4181
2025,July,North America,Cybertruck,5648,6470,100907,60,340,288.05,4114
2021,August,Asia,Model Y,5288,5423,65879,120,694,550.48,8081
2017,September,Asia,Model S,11877,11996,56644,75,449,799.92,6919
2019,March,North America,Model 3,11351,12709,110506,60,343,584.01,8701
2023,December,Asia,Model 3,9504,10285,58124,82,451,642.95,3613
2016,September,Asia,Cybertruck,12055,13630,103625,100,589,1065.06,10979
2017,April,North America,Cybertruck,10057,10390,52725,120,662,998.66,5102
2021,April,North America,Model Y,4781,5355,80907,60,344,246.7,13185
2018,June,Europe,Cybertruck,9691,10853,88828,60,354,514.59,10577
2015,February,Asia,Model S,12347,12514,108471,82,464,859.35,5238
2017,March,Europe,Model X,18358,19736,97573,120,664,1828.46,6296
2022,September,Middle East,Cybertruck,8801,9121,119417,120,671,885.82,9906
2025,February,North America,Cybertruck,12396,12952,75141,82,480,892.51,10335
2025,June,North America,Model X,8118,8480,82938,82,454,552.84,3551
2021,January,Europe,Model Y,6006,6528,113282,120,679,611.71,11043
2016,September,Asia,Model 3,8273,9112,72757,120,701,869.91,3835
2022,April,Europe,Model 3,6584,6812,105856,100,578,570.83,3069
2015,April,Europe,Model X,8458,9039,88193,120,716,908.39,7633
2025,April,North America,Model X,8085,8158,66600,100,571,692.48,11766
2017,November,Asia,Model Y,12725,12726,110947,60,353,673.79,10527
2019,May,Europe,Model Y,11892,12905,69227,82,470,838.39,7005
2023,September,Middle East,Cybertruck,7649,8709,104272,120,694,796.26,11347
2016,August,Europe,Model X,14658,16528,89286,120,691,1519.3,4377
2015,December,Middle East,Model X,15316,17145,83707,75,416,955.72,4502
2025,June,Middle East,Cybertruck,14633,14680,101706,100,597,1310.39,13347
2025,September,Asia,Model S,7957,8516,111167,60,331,395.07,13669
2015,June,Europe,Cybertruck,9777,10705,66810,82,454,665.81,4546
2017,July,Middle East,Model Y,14085,14963,80026,120,692,1462.02,11357
2022,December,Middle East,Model 3,4224,4317,95768,120,700,443.52,12025
2022,February,North America,Model 3,6869,7674,115157,75,421,433.78,9923
2015,September,North America,Model Y,7812,8720,81730,100,576,674.96,8289
2021,October,Europe,Model X,9106,9660,97569,60,332,453.48,10124
2018,November,Middle East,Model X,7086,7874,88267,75,445,472.99,9647
2016,January,Asia,Model X,10152,10455,97616,60,332,505.57,3367
2024,December,North America,Model S,8547,8647,79831,120,716,917.95,5612
2020,May,Middle East,Cybertruck,9728,10431,86423,120,718,1047.71,14589
2021,May,North America,Model 3,8739,9597,65990,82,462,605.61,6778
2023,August,Europe,Cybertruck,7527,8034,88063,100,555,626.62,14185
2024,May,Middle East,Cybertruck,15342,15732,50011,75,439,1010.27,4333
2020,October,Europe,Model 3,7703,8579,92421,120,694,801.88,3642
2024,February,Europe,Cybertruck,7689,8468,73864,75,432,498.25,13086
2025,November,North America,Cybertruck,15743,16485,55927,120,687,1622.32,11977
2016,October,Asia,Model X,10492,11662,85439,75,436,686.18,3851
2018,March,Asia,Model X,13571,15334,70261,120,688,1400.53,10432
2020,January,North America,Cybertruck,12259,13450,52051,100,580,1066.53,9114
2018,April,North America,Model 3,13029,13284,92420,100,592,1156.98,3539
2019,June,North America,Cybertruck,11949,13109,58984,60,349,625.53,14789
2025,June,Asia,Model X,9651,10848,51726,75,437,632.62,14189
2023,October,Middle East,Model X,4490,4791,109590,100,588,396.02,6457
2023,October,Asia,Model S,9602,10279,72016,60,351,505.55,12915
2025,November,Asia,Model 3,8454,8870,107424,60,335,424.81,8575
